Library	License	Homepage	About	Memo
ismrmrd	BSD-3-Clause	https://github.com/ismrmrd/ismrmrd	ISMRM Raw Data Format	
itk	Apache-2.0	https://github.com/InsightSoftwareConsortium/ITK	Insight Segmentation and Registration Toolkit (ITK) is used for image processing and analysis.	
itpp		http://itpp.sourceforge.net	IT++ is a C++ library of mathematical, signal processing and communication classes and functions. Its main use is in simulation of communication systems and for performing research in the area of communications.	
ixwebsocket	BSD-3-Clause	https://github.com/machinezone/IXWebSocket	Lightweight WebSocket Client and Server + HTTP Client and Server	
jack2	GPL-2.0	https://jackaudio.org/	Cross-platform API that enables device sharing and inter-application audio routing	
jaeger-client-cpp		https://github.com/jaegertracing/jaeger-client-cpp	C++ OpenTracing binding for Jaeger https://jaegertracing.io/	
jansson	MIT	https://github.com/akheron/jansson	Jansson is a C library for encoding, decoding and manipulating JSON data	
jasper	None	https://github.com/jasper-software/jasper	Open source implementation of the JPEG-2000 Part-1 standard	
jbig2dec		https://github.com/ArtifexSoftware/jbig2dec	a decoder library and example utility implementing the JBIG2 bi-level image compression spec. Also known as ITU T.88 and ISO IEC 14492, and included by reference in Adobe's PDF version 1.4 and later.	
jbigkit		https://www.cl.cam.ac.uk/~mgk25/jbigkit	A software implementation of the JBIG1 data compression standard (ITU-T T.82)	
jemalloc	BSD-2-Clause	https://jemalloc.net/	jemalloc is a general purpose malloc(3) implementation that emphasizes fragmentation avoidance and scalable concurrency support	
jinja2cpplight		https://github.com/hughperkins/Jinja2CppLight	(very) lightweight version of Jinja2 for C++, Lightweight templating engine for C++, based on Jinja2.	
joltphysics	MIT	https://github.com/jrouwe/JoltPhysics	A multi core friendly rigid body physics and collision detection library suitable for games and VR applications	
josuttis-jthread		https://github.com/josuttis/jthread	C++ class for a joining and cooperative interruptible thread (std::jthread) with stop_token helper	
jsmn			A minimalistic JSON parser in C.	
json-c	MIT	https://github.com/json-c/json-c	A JSON implementation in C	
json-dto	BSD-3-Clause	https://github.com/Stiffstream/json_dto	A small header-only library for converting data between json representation and c++ structs.	
json-schema-validator	MIT	https://github.com/pboettch/json-schema-validator	C++ library for validating JSON documents based on a JSON Schema. This validator is based on the nlohmann-json library.	
json-spirit			json parser using boost library	
json11			json11 is a tiny JSON library for C++11, providing JSON parsing and serialization.	
json5-parser		https://github.com/Caltech-IPAC/json5_parser	An enhancement of the JSON Spirit C++ library to understand json5.	
jsoncons	BSL-1.0	https://github.com/danielaparker/jsoncons	A C++, header-only library for constructing JSON and JSON-like text and binary data formats, with JSON Pointer, JSON Patch, JSON Schema, JSONPath, JMESPath, CSV, MessagePack, CBOR, BSON, UBJSON	
jsoncpp		https://github.com/open-source-parsers/jsoncpp	jsoncpp is an implementation of a JSON reader and writer in C++. JSON (JavaScript Object Notation) is a lightweight data-interchange format that it is easy to parse and redeable for human.	
jsonnet	Apache-2.0	https://github.com/google/jsonnet	Jsonnet - The data templating language	
jwt-cpp	MIT	https://github.com/Thalhammer/jwt-cpp	A header only library for creating and validating json web tokens in c++	
jxrlib	BSD-2-Clause	https://github.com/4creators/jxrlib	Open source implementation of the jpegxr image format standard.	
kaitai-struct-cpp-stl-runtime	MIT	http://kaitai.io/	Kaitai Struct is a declarative language used for describe various binary data structures, laid out in files or in memory. This library implements Kaitai Struct API for C++ using STL	
kangaru	MIT	https://github.com/gracicot/kangaru	A dependency injection container for C++11, C++14 and later	
kcp		https://github.com/skywind3000/kcp	A fast and reliable ARQ protocol	
kd-soap		https://www.kdab.com/products/kd-soap	A Qt-based client-side and server-side SOAP component	
kdalgorithms	MIT	https://github.com/KDAB/KDAlgorithms	KDAB's algorithm helpers for C++14 and up	
kdbindings	MIT OR BSD-3-Clause	https://github.com/KDAB/KDBindings	Reactive programming & data binding in C++	
kddockwidgets		https://www.kdab.com/development-resources/qt-tools/kddockwidgets/	KDAB's Dock Widget Framework for Qt	
kealib		https://github.com/ubarsc/kealib	KEALib provides an implementation of the GDAL data model using HDF5.	
kenlm			KenLM: Faster and Smaller Language Model Queries	
keystone		https://github.com/keystone-engine/keystone	A Lightweight multi-platform, multi-architecture assembler framework.	
kf5archive	LGPL-2.0-or-later	https://api.kde.org/frameworks/karchive/html/index.html	File compression	
kf5attica		https://api.kde.org/frameworks/attica/html/index.html	A Qt library that implements the Open Collaboration Services API	
kf5auth		https://api.kde.org/frameworks/kauth/html/index.html	Execute actions as privileged user	
kf5bookmarks		https://api.kde.org/frameworks/kbookmarks/html/index.html	Bookmarks management library	
kf5codecs		https://api.kde.org/frameworks/kcodecs/html/index.html	String encoding library	
kf5completion		https://api.kde.org/frameworks/kcompletion/html/index.html	Text completion helpers and widgets	
kf5config		https://api.kde.org/frameworks/kconfig/html/index.html	Configuration system	
kf5configwidgets		https://api.kde.org/frameworks/kconfigwidgets/html/index.html	Widgets for configuration dialogs	
kf5coreaddons		https://api.kde.org/frameworks/kcoreaddons/html/index.html	Addons to QtCore	
kf5crash		https://api.kde.org/frameworks/kcrash/html/index.html	KCrash provides support for intercepting and handling application crashes.	
kf5dbusaddons		https://api.kde.org/frameworks/kdbusaddons/html/index.html	Convenience classes for D-Bus	
kf5declarative		https://api.kde.org/frameworks/kdeclarative/html/index.html	Integration of QML and KDE work spaces	
kf5diagram		https://api.kde.org/kdiagram/index.html	Powerful libraries (KChart, KGantt) for creating business diagrams	
kf5globalaccel		https://api.kde.org/frameworks/kglobalaccel/html/index.html	lobal desktop keyboard shortcuts	
kf5guiaddons		https://api.kde.org/frameworks/kguiaddons/html/index.html	Addons to QtGui	
kf5holidays			Holiday calculation library	
kf5i18n		https://api.kde.org/frameworks/ki18n/html/index.html	Advanced internationalization framework	
kf5iconthemes		https://api.kde.org/frameworks/kiconthemes/html/index.html	Icon GUI utilities	
kf5itemmodels		https://api.kde.org/frameworks/kitemmodels/html/index.html	Models for Qt Model/View system	
kf5itemviews		https://api.kde.org/frameworks/kitemviews/html/index.html	Widget addons for Qt Model/View	
kf5jobwidgets		https://api.kde.org/frameworks/kjobwidgets/html/index.html	Widgets for showing progress of asynchronous jobs	
kf5kcmutils		https://api.kde.org/frameworks/kcmutils/html/index.html	Utilities for KDE System Settings modules	
kf5kio	None	https://api.kde.org/frameworks/kio/html/index.html	Network transparent access to files and data	
kf5newstuff		https://api.kde.org/frameworks/knewstuff/html/index.html	Framework for downloading and sharing additional application data	
kf5notifications		https://api.kde.org/frameworks/knotifications/html/index.html	Desktop notifications	
kf5package		https://api.kde.org/frameworks/kpackage/html/index.html	Installation and loading of additional content (ex: scripts, images...) as packages	
kf5plotting		https://api.kde.org/frameworks/kplotting/html/index.html	Lightweight plotting framework	
kf5service		https://api.kde.org/frameworks/kservice/html/index.html	Plugin framework for desktop services	
kf5solid		https://api.kde.org/frameworks/solid/html/index.html	Desktop hardware abstraction	
kf5sonnet		https://api.kde.org/frameworks/sonnet/html/index.html	Multi-language spell checker	
kf5syntaxhighlighting		https://github.com/KDE/syntax-highlighting	Syntax highlighting engine for Kate syntax definitions	
kf5textwidgets		https://api.kde.org/frameworks/ktextwidgets/html/index.html	Text editing widgets	
kf5wallet		https://api.kde.org/frameworks/kwallet/html/index.html	Safe desktop-wide storage for passwords	
kf5widgetsaddons		https://api.kde.org/frameworks/kwidgetsaddons/html/index.html	Addons to QtWidgets	
kf5windowsystem		https://api.kde.org/frameworks/kwindowsystem/html/	Access to the windowing system	
kf5xmlgui		https://api.kde.org/frameworks/kxmlgui/html/index.html	Framework for managing menu and toolbar actions	
kfr	GPL-2.0	https://www.kfr.dev/	Fast, modern C++ DSP framework.	
kinectsdk1	None		Kinect for Windows SDK for Kinect v1 sensor.	
kinectsdk2	None		Kinect for Windows SDK for Kinect v2 sensor.	
kissfft		https://github.com/mborgerding/kissfft	A Fast Fourier Transform (FFT) library that tries to Keep it Simple, Stupid	
kissnet	MIT	https://github.com/Ybalrid/kissnet	Keep It Simple Stupid NETwork - C++17 wrapping of your OS's native socket API	
klein			Klein is an implementation of P(R*_{3, 0, 1}), aka 3D Projective Geometric Algebra. It is designed for applications that demand high-throughput (animation libraries, kinematic solvers, etc).	
knet	MIT	https://github.com/kibaamor/knet	A cross platform lock-free and timer-supported C++11 network library.	
krabsetw		https://github.com/microsoft/krabsetw	krabsetw is a header-only C++ library that simplifies interacting with ETW.	
ktx	Apache-2.0	https://github.com/KhronosGroup/KTX-Software	A small library of functions for writing and reading KTX files, and instantiating OpenGL®, OpenGL ES™️ and Vulkan® textures from them	
kubazip	Unlicense	https://github.com/kuba--/zip	A portable, simple zip library written in C	
kubernetes	Apache-2.0	https://github.com/kubernetes-client/c/	Kubernetes C client	
kuku		https://github.com/microsoft/Kuku	Kuku is a simple open-source (MIT licensed) cuckoo hashing library developed by the Cryptography and Privacy Research group at Microsoft.	
kvasir-mpl		https://github.com/kvasir-io/mpl	This library is part of the Kvasir project. Kvasir is a collection of zero cost statically checked libraries for resource constrained systems including microcontrollers.	
kwsys		https://gitlab.kitware.com/utils/kwsys	Provides platform-independent APIs to many common system features	
lager		https://sinusoid.es/lager/	C++ library for value-oriented design using the unidirectional data-flow architecture	
lapack	None		Metapackage for packages which provide LAPACK	
lapack-reference	BSD-3-Clause-Open-MPI	http://www.netlib.org/lapack/	LAPACK - Linear Algebra PACKage	
lastools		https://github.com/LAStools/LAStools	LAStools: award-winning software for efficient LiDAR processing (with LASzip)	
laszip		https://laszip.org/	LASzip - free and lossless LiDAR compression	
launch-darkly-server	Apache-2.0	https://github.com/launchdarkly/c-server-sdk	LaunchDarkly server-side SDK for C/C++	
lazy-importer		https://github.com/JustasMasiulis/lazy_importer	Library for importing functions from dlls in a hidden, reverse engineer unfriendly way	
lcm	LGPL-2.1-or-later	https://github.com/lcm-proj/lcm	['Lightweight Communications and Marshalling (LCM)', 'LCM is a set of libraries and tools for message passing and data marshalling, targeted at real-time systems where high-bandwidth and low latency are critical. It provides a publish/subscribe message passing model and automatic marshalling/unmarshalling code generation with bindings for applications in a variety of programming languages.']	
lcms	MIT	https://github.com/mm2/Little-CMS	Little CMS.	
leaf			Deprecated boost-leaf port.	
lemon			Deprecated port, use liblemon instead	
lemon-parser-generator	blessing	https://www.hwaci.com/sw/lemon/index.html	The Lemon program is an LALR(1) parser generator. It takes a context free grammar and converts it into a subroutine that will parse a file using that grammar.	
