Library	License	Homepage	About	Memo
boost-lockfree	BSL-1.0	https://github.com/boostorg/lockfree	Boost lockfree module	
boost-log	BSL-1.0	https://github.com/boostorg/log	Boost log module	
boost-logic	BSL-1.0	https://github.com/boostorg/logic	Boost logic module	
boost-math	BSL-1.0	https://github.com/boostorg/math	Boost math module	
boost-metaparse	BSL-1.0	https://github.com/boostorg/metaparse	Boost metaparse module	
boost-modular-build-helper	MIT		Internal vcpkg port used to build Boost libraries	
boost-move	BSL-1.0	https://github.com/boostorg/move	Boost move module	
boost-mp11	BSL-1.0	https://github.com/boostorg/mp11	Boost mp11 module	
boost-mpi	BSL-1.0	https://github.com/boostorg/mpi	Boost mpi module	
boost-mpl	BSL-1.0	https://github.com/boostorg/mpl	Boost mpl module	
boost-msm	BSL-1.0	https://github.com/boostorg/msm	Boost msm module	
boost-multi-array	BSL-1.0	https://github.com/boostorg/multi_array	Boost multi_array module	
boost-multi-index	BSL-1.0	https://github.com/boostorg/multi_index	Boost multi_index module	
boost-multiprecision	BSL-1.0	https://github.com/boostorg/multiprecision	Boost multiprecision module	
boost-nowide	BSL-1.0	https://github.com/boostorg/nowide	Boost nowide module	
boost-numeric-conversion	BSL-1.0	https://github.com/boostorg/numeric_conversion	Boost numeric_conversion module	
boost-odeint	BSL-1.0	https://github.com/boostorg/odeint	Boost odeint module	
boost-optional	BSL-1.0	https://github.com/boostorg/optional	Boost optional module	
boost-outcome	BSL-1.0	https://github.com/boostorg/outcome	Boost outcome module	
boost-parameter	BSL-1.0	https://github.com/boostorg/parameter	Boost parameter module	
boost-parameter-python	BSL-1.0	https://github.com/boostorg/parameter_python	Boost parameter_python module	
boost-pfr	BSL-1.0	https://github.com/boostorg/pfr	Boost pfr module	
boost-phoenix	BSL-1.0	https://github.com/boostorg/phoenix	Boost phoenix module	
boost-poly-collection	BSL-1.0	https://github.com/boostorg/poly_collection	Boost poly_collection module	
boost-polygon	BSL-1.0	https://github.com/boostorg/polygon	Boost polygon module	
boost-pool	BSL-1.0	https://github.com/boostorg/pool	Boost pool module	
boost-predef	BSL-1.0	https://github.com/boostorg/predef	Boost predef module	
boost-preprocessor	BSL-1.0	https://github.com/boostorg/preprocessor	Boost preprocessor module	
boost-process	BSL-1.0	https://github.com/boostorg/process	Boost process module	
boost-program-options	BSL-1.0	https://github.com/boostorg/program_options	Boost program_options module	
boost-property-map	BSL-1.0	https://github.com/boostorg/property_map	Boost property_map module	
boost-property-map-parallel	BSL-1.0	https://github.com/boostorg/property_map_parallel	Boost property_map_parallel module	
boost-property-tree	BSL-1.0	https://github.com/boostorg/property_tree	Boost property_tree module	
boost-proto	BSL-1.0	https://github.com/boostorg/proto	Boost proto module	
boost-ptr-container	BSL-1.0	https://github.com/boostorg/ptr_container	Boost ptr_container module	
boost-python	BSL-1.0	https://github.com/boostorg/python	Boost python module	
boost-qvm	BSL-1.0	https://github.com/boostorg/qvm	Boost qvm module	
boost-random	BSL-1.0	https://github.com/boostorg/random	Boost random module	
boost-range	BSL-1.0	https://github.com/boostorg/range	Boost range module	
boost-ratio	BSL-1.0	https://github.com/boostorg/ratio	Boost ratio module	
